City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
319,mejit,10.2753,170.8646,82.2,79,41,12.82,MH,1698198461
320,tangalle,6.024,80.7911,75.36,85,39,4.05,LK,1698198461
321,verkhov'ye,52.8119,37.2425,35.49,86,100,7.63,RU,1698198462
322,powell river,49.8496,-124.5361,41.18,100,100,11.5,CA,1698198462
323,usogorsk,63.4106,48.6872,30.67,86,29,6.35,RU,1698198251
324,khovd,48.0056,91.6419,39.36,23,29,4.5,MN,1698198462
325,berdigestyakh,62.0989,126.6992,24.53,88,100,6.33,RU,1698198462
326,banff,51.1762,-115.5698,14.38,73,89,5.75,CA,1698198462
327,sarakhs,36.5449,61.1577,66.97,29,100,7.58,IR,1698198462
328,nuriootpa,-34.4833,139.0,57.38,35,75,23.04,AU,1698198462
329,llanes,43.4198,-4.7549,64.17,72,96,10.27,ES,1698198463
330,alofi,-19.0595,-169.9187,78.69,50,31,16.11,NU,1698198463
331,al bardiyah,31.7561,25.0865,67.69,86,0,4.09,LY,1698198463
332,vila franca do campo,37.7167,-25.4333,68.41,91,90,14.36,PT,1698198463
333,moyynkum,44.2914,72.9469,55.65,67,79,6.62,KZ,1698198463
334,harstad,68.799,16.5293,33.19,96,79,5.99,NO,1698198303
335,kerikeri,-35.2268,173.9474,72.91,78,89,1.99,NZ,1698198463
336,olyokminsk,60.3736,120.4264,32.58,72,100,11.92,RU,1698198465
337,savonlinna,61.8699,28.88,17.65,93,0,1.14,FI,1698198465
338,zigong,29.3416,104.7769,65.28,82,100,1.39,CN,1698198465
339,sisimiut,66.9395,-53.6735,24.73,72,85,13.47,GL,1698198465
340,bengkulu,-3.8004,102.2655,80.71,76,90,2.08,ID,1698198465
341,vilyuysk,63.7553,121.6247,24.01,95,100,5.01,RU,1698198466
342,arteche,12.2645,125.4048,86.2,68,100,5.35,PH,1698198466
343,richards bay,-28.783,32.0377,65.01,83,29,9.42,ZA,1698198261
344,orcopampa,-15.2661,-72.3417,49.06,81,99,4.03,PE,1698198466
345,college,64.8569,-147.8028,26.55,82,75,1.01,US,1698198194
346,katsuura,35.1333,140.3,68.77,64,100,2.48,JP,1698198466
347,katsuren-haebaru,26.3369,127.8719,80.62,75,75,8.05,JP,1698198466
348,eureka,40.8021,-124.1637,57.74,86,91,1.01,US,1698198429
349,el granada,37.5027,-122.4694,66.07,84,75,16.11,US,1698198466
350,barras,-4.2444,-42.2944,76.17,83,61,4.63,BR,1698198467
351,bandarbeyla,9.4942,50.8122,80.94,81,29,6.98,SO,1698198467
352,acapulco de juarez,16.8634,-99.8901,78.62,94,100,8.05,MX,1698198389
353,anderson,34.5334,-82.6499,57.74,75,0,0.0,US,1698198308
354,kargopol',61.5071,38.9456,26.02,94,32,5.53,RU,1698198467
355,bubaque,11.2833,-15.8333,83.37,74,100,5.41,GW,1698198312
356,magadan,59.5667,150.8,33.53,88,98,7.78,RU,1698198359
357,ambon,-3.6954,128.1814,86.14,70,40,8.05,ID,1698198468
358,gangtok,27.3333,88.6167,61.34,46,0,1.36,IN,1698198468
359,perbaungan,3.5679,98.956,78.91,95,100,4.97,ID,1698198468
360,bam,29.106,58.357,72.27,31,30,7.05,IR,1698198468
361,valga,57.7778,26.0473,35.24,70,100,7.92,EE,1698198468
362,macapa,0.0389,-51.0664,84.18,74,40,11.5,BR,1698198317
363,dalbandin,28.8947,64.4101,69.24,24,4,3.06,PK,1698198469
